Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,
DDD,3D Systems Corporation,12.05,1375875543.15,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd,
MMM,3M Company,202.2,117738458697,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm,
WBAI,500.com Limited,8.22,349230670.26,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai,
WUBA,58.com Inc.,59.58,8826107678.28,n/a,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba,
EGHT,8x8 Inc,19.41,1851154623.21,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,
AHC,A.H. Belo Corporation,4.46,96526562.42,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc,
ATEN,"A10 Networks, Inc.",6.1,450170343.7,n/a,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten,
AAC,"AAC Holdings, Inc.",2.11,51910969.05,n/a,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac,
AIR,AAR Corp.,41.83,1465769045.68,n/a,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air,
AAN,"Aaron&#39;s,  Inc.",44.13,3202880423.13,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan,
ABB,ABB Ltd,19.66,41911258893.96,n/a,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,71.5,125577811788,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt,
ABBV,AbbVie Inc.,90.55,136206788409.85,n/a,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv,
ANF,Abercrombie & Fitch Company,18.87,1259571179.1,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf,
AGD,Aberdeen Global Dynamic Dividend Fund,9.29,116585616.78,n/a,2006,n/a,n/a,https://www.nasdaq.com/symbol/agd,
AWP,Aberdeen Global Premier Properties Fund,5.47,467181491.97,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/awp,
ACP,Aberdeen Income Credit Strategies Fund,11.63,152051457.36,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp,
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.54,100953602.88,n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/jeq,
AOD,Aberdeen Total Dynamic Dividend Fund,8,860746712,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/aod,
ABM,ABM Industries Incorporated,29.65,1952505662.45,n/a,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm,
AKR,Acadia Realty Trust,28.12,2293278093,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/akr,
ACN,Accenture plc,164.21,104928685507.98,n/a,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn,
